date,symbol,prob,entry,gross_ret,net_ret,hold_days,win,exit_reason
2025-10-21,NLG,0.5353,36.06,0.08,0.077,7,1,tp
2025-10-21,VND,0.5485,20.46,-0.05,-0.053,3,0,sl
2025-10-23,DXG,0.5868,17.59,-0.05,-0.053,7,0,sl
2025-10-23,PDR,0.5422,23.6,-0.05,-0.053,2,0,sl
2025-10-27,PDR,0.5419,22.05,-0.05,-0.053,1,0,sl
2025-10-27,VHM,0.6061,51.28,-0.05,-0.053,1,0,sl
2025-10-27,VIC,0.675,107.0,-0.05,-0.053,1,0,sl
2025-10-29,VRE,0.6208,34.72,-0.05,-0.053,1,0,sl
2025-10-30,VHM,0.6131,50.08,-0.05,-0.053,2,0,sl
2025-10-30,VIC,0.7034,102.05,-0.05,-0.053,1,0,sl
2025-10-31,FPT,0.551,101.43,-0.05,-0.053,6,0,sl
2025-10-31,GVR,0.5393,28.64,-0.05,-0.053,2,0,sl
2025-11-03,DXG,0.6036,16.54,-0.05,-0.053,1,0,sl
2025-11-03,HDB,0.5521,23.56,0.08,0.077,23,1,tp
2025-11-03,PDR,0.5523,21.4,0.08,0.077,10,1,tp
2025-11-03,VHM,0.6361,47.43,-0.05,-0.053,4,0,sl
2025-11-03,VIC,0.7452,97.7,0.08,0.077,3,1,tp
2025-11-03,VPB,0.554,27.12,0.08,0.077,22,1,tp
2025-11-03,VRE,0.6918,30.28,-0.05,-0.053,6,0,sl
2025-11-04,GVR,0.5425,28.34,-0.05,-0.053,19,0,sl
2025-11-04,KDH,0.5483,35.6,-0.05,-0.053,3,0,sl
2025-11-04,NLG,0.5352,37.48,-0.05,-0.053,4,0,sl
2025-11-04,SSI,0.5359,25.3,-0.05,-0.053,3,0,sl
2025-11-04,TPB,0.5352,17.25,-0.05,-0.053,3,0,sl
2025-11-04,VCI,0.5391,27.91,-0.05,-0.053,3,0,sl
2025-11-04,VND,0.5824,19.54,-0.05,-0.053,3,0,sl
2025-11-06,DXG,0.6053,17.37,-0.05,-0.053,1,0,sl
2025-11-10,DXG,0.6076,16.01,0.08,0.077,5,1,tp
2025-11-10,KDH,0.5469,32.0,0.08,0.077,3,1,tp
2025-11-10,SSI,0.5344,24.46,-0.05,-0.053,16,0,sl
2025-11-10,VHM,0.6155,41.84,0.08,0.077,2,1,tp
2025-11-10,VIC,0.7384,99.5,0.08,0.077,3,1,tp
2025-11-10,VND,0.5497,18.51,-0.05,-0.053,24,0,sl
2025-11-11,NLG,0.5449,35.66,-0.05,-0.053,23,0,sl
2025-11-13,DGC,0.5458,95.81,-0.05,-0.053,8,0,sl
2025-11-13,VRE,0.6448,30.86,0.08,0.077,8,1,tp
2025-11-14,VHM,0.6215,45.21,0.08,0.077,6,1,tp
2025-11-17,VIC,0.7229,108.5,0.08,0.077,5,1,tp
2025-11-19,DXG,0.5721,16.71,-0.05,-0.053,9,0,sl
2025-11-19,PDR,0.5424,22.8,-0.05,-0.053,4,0,sl
2025-11-24,VHM,0.659,49.45,0.08,0.077,11,1,tp
2025-11-26,PDR,0.538,22.6,-0.05,-0.053,4,0,sl
2025-11-26,VIC,0.7695,122.5,0.08,0.077,3,1,tp
2025-11-26,VRE,0.5633,32.69,-0.05,-0.053,9,0,sl
2025-12-02,SAB,0.5855,47.02,-0.05,-0.053,4,0,sl
2025-12-02,VIC,0.8077,137.5,0.08,0.077,4,1,tp
2025-12-03,DXG,0.5551,16.27,-0.05,-0.053,7,0,sl
2025-12-04,MBB,0.5418,20.58,-0.05,-0.053,3,0,sl
2025-12-05,FRT,0.5402,152.38,-0.05,-0.053,2,0,sl
2025-12-09,SAB,0.5525,47.83,-0.05,-0.053,3,0,sl
2025-12-09,VIC,0.8121,160.0,-0.05,-0.053,1,0,sl
2025-12-10,VRE,0.5561,28.97,-0.05,-0.053,2,0,sl
2025-12-11,VHM,0.5763,48.68,-0.05,-0.053,1,0,sl
2025-12-12,VIC,0.7949,144.0,0.08,0.077,6,1,tp
2025-12-15,VHM,0.5721,44.54,0.08,0.077,4,1,tp
2025-12-15,VRE,0.5517,27.91,0.08,0.077,4,1,tp
2025-12-16,DXG,0.5618,15.13,-0.05,-0.053,16,0,sl
2025-12-16,SSI,0.5453,24.18,-0.05,-0.053,13,0,sl
2025-12-16,VND,0.5623,18.37,0.08,0.077,7,1,tp
2025-12-16,VPB,0.5378,27.76,0.08,0.077,18,1,tp
2025-12-22,PDR,0.5426,20.5,-0.05,-0.053,4,0,sl
2025-12-22,STB,0.5372,52.4,0.08,0.077,2,1,tp
2025-12-22,VHM,0.6255,51.71,0.08,0.077,2,1,tp
2025-12-22,VIC,0.8126,158.8,0.08,0.077,2,1,tp
2025-12-22,VRE,0.6169,31.87,0.08,0.077,3,1,tp
2025-12-23,HDB,0.5531,27.5,0.08,0.077,18,1,tp
2025-12-26,STB,0.6084,57.5,-0.05,-0.053,6,0,sl
2025-12-26,VHM,0.7021,52.96,0.08,0.077,2,1,tp
2025-12-26,VIC,0.8547,155.0,0.08,0.077,3,1,tp
2025-12-29,GAS,0.5809,75.1,0.08,0.077,4,1,tp
2025-12-29,VND,0.5649,19.24,-0.05,-0.053,3,0,sl
2025-12-29,VRE,0.6838,32.06,0.08,0.077,4,1,tp
2025-12-30,VHM,0.6986,56.58,0.08,0.077,2,1,tp
2025-12-31,DGC,0.5664,68.5,-0.05,-0.053,1,0,sl
2026-01-05,DGC,0.5584,65.5,0.08,0.077,13,1,tp
2026-01-05,FRT,0.5329,145.81,-0.05,-0.053,3,0,sl
2026-01-05,GAS,0.5694,77.4,0.08,0.077,2,1,tp
2026-01-05,PNJ,0.5406,65.04,0.08,0.077,9,1,tp
2026-01-05,STB,0.5997,57.9,-0.05,-0.053,2,0,sl
2026-01-05,VHM,0.7177,63.85,0.08,0.077,2,1,tp
2026-01-05,VIC,0.8543,173.1,0.08,0.077,3,1,tp
2026-01-05,VRE,0.6797,34.38,0.08,0.077,2,1,tp
2026-01-06,MBB,0.5616,21.34,0.0455,0.0425,25,0,time
2026-01-06,PLX,0.5404,37.41,0.08,0.077,2,1,tp
2026-01-06,TCB,0.5387,35.26,-0.05,-0.053,17,0,sl
