date,symbol,prob,entry,gross_ret,net_ret,hold_days,win,exit_reason
2025-09-09,DCM,0.7262,35.45,-0.05,-0.053,18,0,sl
2025-09-09,HDB,0.673,24.33,-0.05,-0.053,9,0,sl
2025-09-09,VPB,0.6647,31.83,-0.05,-0.053,2,0,sl
2025-09-11,FPT,0.6505,99.58,-0.05,-0.053,12,0,sl
2025-09-11,GAS,0.725,62.0,-0.05,-0.053,24,0,sl
2025-09-11,TPB,0.6352,18.71,-0.05,-0.053,6,0,sl
2025-09-15,GVR,0.6562,29.43,-0.05,-0.053,5,0,sl
2025-09-15,VPB,0.6717,31.0,-0.05,-0.053,5,0,sl
2025-09-16,PDR,0.6375,23.6,0.08,0.077,7,1,tp
2025-09-18,DGC,0.6526,94.66,-0.05,-0.053,8,0,sl
2025-09-18,SSI,0.6905,28.97,-0.05,-0.053,4,0,sl
2025-09-18,VND,0.6292,22.69,-0.05,-0.053,2,0,sl
2025-09-22,TPB,0.7641,18.1,-0.05,-0.053,20,0,sl
2025-09-22,VND,0.6933,21.53,0.08,0.077,11,1,tp
2025-09-23,HDB,0.6787,22.13,0.08,0.077,2,1,tp
2025-09-24,VHM,0.6872,47.19,0.08,0.077,10,1,tp
2025-09-24,VPB,0.7056,31.05,-0.05,-0.053,7,0,sl
2025-09-25,KDH,0.6357,33.7,-0.05,-0.053,6,0,sl
2025-09-25,SSI,0.73,28.4,0.08,0.077,9,1,tp
2025-09-29,PDR,0.7586,23.9,-0.05,-0.053,4,0,sl
2025-09-30,HDB,0.6298,23.9,0.08,0.077,11,1,tp
2025-09-30,VIC,0.6522,87.45,0.08,0.077,8,1,tp
2025-10-01,MBB,0.8519,21.14,-0.05,-0.053,14,0,sl
2025-10-02,DPM,0.6358,22.33,-0.05,-0.053,12,0,sl
2025-10-02,POW,0.72,11.74,-0.05,-0.053,12,0,sl
2025-10-03,NLG,0.6584,33.58,0.08,0.077,5,1,tp
2025-10-06,DXG,0.6512,18.64,-0.05,-0.053,2,0,sl
2025-10-06,KDH,0.7746,33.0,-0.05,-0.053,7,0,sl
2025-10-06,PDR,0.7377,23.1,0.08,0.077,5,1,tp
2025-10-06,VPB,0.6423,31.0,0.08,0.077,7,1,tp
2025-10-06,VRE,0.6395,33.8,0.08,0.077,3,1,tp
2025-10-08,DGC,0.7489,90.44,-0.05,-0.053,8,0,sl
2025-10-09,MSN,0.7184,83.1,0.08,0.077,6,1,tp
2025-10-09,SSI,0.7027,29.6,-0.05,-0.053,7,0,sl
2025-10-10,DXG,0.668,18.16,0.08,0.077,4,1,tp
2025-10-10,VHM,0.8064,59.22,-0.05,-0.053,5,0,sl
2025-10-13,NLG,0.7637,36.68,-0.05,-0.053,2,0,sl
2025-10-13,VIC,0.6315,102.7,-0.05,-0.053,5,0,sl
2025-10-13,VNM,0.6496,59.19,-0.05,-0.053,5,0,sl
2025-10-13,VRE,0.6462,41.53,-0.05,-0.053,4,0,sl
2025-10-14,DCM,0.6703,32.99,-0.05,-0.053,4,0,sl
2025-10-17,DXG,0.7823,19.82,-0.05,-0.053,1,0,sl
2025-10-20,DXG,0.7848,18.47,-0.05,-0.053,1,0,sl
2025-10-20,POW,0.6684,10.91,0.08,0.077,7,1,tp
2025-10-20,SSI,0.8493,27.63,-0.05,-0.053,4,0,sl
2025-10-20,TCB,0.6443,37.07,-0.05,-0.053,5,0,sl
2025-10-20,VHM,0.7491,52.0,0.08,0.077,3,1,tp
2025-10-20,VRE,0.7202,36.85,-0.05,-0.053,5,0,sl
2025-10-21,ACB,0.6358,21.54,-0.032,-0.035,25,0,time
2025-10-21,HDB,0.6435,24.95,-0.05,-0.053,5,0,sl
2025-10-22,HPG,0.6806,23.84,0.0147,0.0117,25,0,time
2025-10-22,MBB,0.8132,20.38,-0.05,-0.053,3,0,sl
2025-10-22,VIC,0.6772,101.5,0.08,0.077,2,1,tp
2025-10-23,HSG,0.6409,12.69,0.0213,0.0183,25,0,time
2025-10-27,DCM,0.6445,32.52,-0.0203,-0.0233,25,0,time
2025-10-27,SSI,0.6815,25.34,-0.05,-0.053,5,0,sl
2025-10-28,MBB,0.8457,19.22,-0.0187,-0.0217,25,0,time
2025-10-30,HCM,0.7091,19.97,-0.05,-0.053,2,0,sl
2025-10-30,VND,0.6627,19.44,-0.05,-0.053,2,0,sl
2025-10-31,MWG,0.7897,81.34,-0.05,-0.053,5,0,sl
2025-10-31,POW,0.6564,11.86,0.08,0.077,20,1,tp
